"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";
"4";"";"LEDCHIP-LED0805";"CHIP-LED0805";"LED1, LED2, LED3, LED4";"LED";"";"";"";"";
"6";"";"MPT2";"2POL254";"AMPA, AMPB, RESA, RESB, VOLTA, VOLTB";"PHOENIX CONNECTOR";"";"";"unknown";"unknown";
"2";"";"MTA03-100";"10X03MTA";"PIN, PROG";"AMP connector";"";"";"";"";
"2";"1";"R-US_M0805";"M0805";"R24, R34";"RESISTOR, American symbol";"";"";"";"";
"2";"100";"R-US_M0805";"M0805";"R29, R39";"RESISTOR, American symbol";"";"";"";"";
"5";"100n";"C-USC0805K";"C0805K";"C1, C2, C3, C4, C5";"CAPACITOR, American symbol";"";"";"";"";
"10";"10k";"R-US_M0805";"M0805";"R23, R25, R26, R27, R28, R33, R35, R36, R37, R38";"RESISTOR, American symbol";"";"";"";"";
"3";"1u";"C-USC0805";"C0805";"C2.1, C3.1, C6";"CAPACITOR, American symbol";"";"";"";"";
"1";"1u";"CPOL-USA/3216-18R";"A/3216-18R";"C4.1";"POLARIZED CAPACITOR, American symbol";"";"";"";"";
"4";"330";"R-US_M0805";"M0805";"R61, R62, R63, R64";"RESISTOR, American symbol";"";"";"";"";
"4";"470k";"R-US_M0805";"M0805";"R21, R22, R31, R32";"RESISTOR, American symbol";"";"";"";"";
"1";"ATTINY1616";"ATTINY1616";"SO20W";"IC1";"";"";"";"";"";
"1";"B2430UNI";"B2430UNI";"B2430UNI";"G1";"LI BATTERY";"";"";"";"";
"2";"LTC1992";"LTC1992CMS8";"MSOP8";"IC2, IC3";"Low Power, Fully Differential";"";"";"";"";
"1";"LTC2402";"LTC2402CMS";"MSOP10";"IC5";"";"";"";"";"";
"1";"LTC6911";"LTC6911CMS-1";"MSOP10";"IC4";"";"";"";"";"";
"1";"NOKIA_SCREEN";"NOKIA_SCREEN";"NOKIA_SCREEN";"U$1";"";"";"";"";"";
"4";"SPST_TACT-EVQQ2";"SPST_TACT-EVQQ2";"EVQ-Q2";"SW1, SW2, SW3, SW4";"SMT 6mm switch, EVQQ2 series";"";"";"";"";
"2";"TL36PO";"TL36PO";"TL3XPO";"LIGHT, ON/OFF";"TINY SWITCH ON - ON";"";"";"";"";
